id,magnitude,place,time,longitude,latitude,depth_km
us7000agi6,4.6,"229 km W of Tual, Indonesia",2020-06-25 08:53:04.878,130.6826,-5.6242,73.97
us7000agi5,4.5,"203 km WNW of Panguna, Papua New Guinea",2020-06-25 08:34:24.924,153.731,-5.7507,10.0
us7000aaq2,5.5,Indian Ocean Triple Junction,2020-06-25 06:08:28.131,70.7905,-26.1281,10.0
us7000aanf,4.6,"27 km NW of Stanley, Idaho",2020-06-25 05:20:59.627,-115.1814,44.3989,7.54
us7000aai3,4.7,south of the Kermadec Islands,2020-06-24 23:19:48.478,-178.4473,-33.9165,10.0
us7000aahv,4.9,South Sandwich Islands region,2020-06-24 23:12:08.513,-25.384,-56.8779,10.0
us7000aag4,5.6,"87 km NNW of Te Anau, New Zealand",2020-06-24 22:20:02.174,167.4756,-44.6494,10.8
us7000aabt,5.9,"36 km SE of Hasaki, Japan",2020-06-24 19:47:45.011,141.0738,35.4711,29.05
us7000aabs,4.8,"23 km ENE of North Vanlaiphai, India",2020-06-24 19:44:43.473,93.2827,23.1939,4.24
ci39494008,4.59,"19km SE of Lone Pine, CA",2020-06-24 17:59:19.960,-117.9311667,36.456,9.62
ci39493944,5.8,"18km SSE of Lone Pine, CA",2020-06-24 17:40:49.240,-117.9751667,36.4468333,4.66
us6000ahvl,5.1,"49 km ENE of Palora, Ecuador",2020-06-24 15:38:34.463,-77.5274,-1.6022,169.38
us6000ahup,4.6,Reykjanes Ridge,2020-06-24 14:58:07.487,-34.4557,56.6563,10.0
us7000afqu,4.5,south of the Kermadec Islands,2020-06-24 14:37:00.409,-178.1313,-33.4563,10.0
us6000ahrw,4.9,"198 km WNW of Panguna, Papua New Guinea",2020-06-24 12:14:52.847,153.7679,-5.7939,10.0
us6000ahra,4.6,"65 km NNE of Yigo Village, Guam",2020-06-24 10:33:12.654,145.1895,14.0531,116.04
us7000afq9,4.6,south of the Kermadec Islands,2020-06-24 07:41:34.490,-178.0659,-33.8205,10.0
us6000ahnr,4.8,south of the Kermadec Islands,2020-06-24 06:41:03.545,-178.1217,-33.9315,10.0
us7000afq7,4.5,south of the Kermadec Islands,2020-06-24 06:12:41.556,-178.5758,-33.7089,10.0
us7000afq6,4.5,south of the Kermadec Islands,2020-06-24 04:54:41.221,-178.784,-33.7401,10.0
us7000afrg,4.6,south of the Kermadec Islands,2020-06-24 04:38:06.846,-178.5544,-33.7741,10.0
us7000afqh,4.5,south of the Kermadec Islands,2020-06-24 04:37:18.569,-178.4821,-33.6853,10.0
us7000afq4,4.6,south of the Kermadec Islands,2020-06-24 04:15:24.473,-178.3301,-33.5074,10.0
us6000ahl5,4.5,"8 km ENE of Santa María Xadani, Mexico",2020-06-24 03:11:20.289,-95.996,15.9773,10.0
us6000ahkh,5.4,"4 km ESE of San Miguel Figueroa, Mexico",2020-06-24 02:33:19.930,-96.3698,15.7688,4.21
us6000ahkj,4.5,"21 km ENE of North Vanlaiphai, India",2020-06-24 02:32:33.683,93.2628,23.206,4.58
us6000ahk4,4.9,south of the Kermadec Islands,2020-06-24 02:02:39.437,-178.581,-33.6262,10.0
us7000af27,4.6,south of the Kermadec Islands,2020-06-23 22:38:08.870,-178.395,-33.5496,10.0
us7000af26,4.5,south of the Kermadec Islands,2020-06-23 22:22:41.901,-177.8974,-33.2624,10.0
us7000af25,4.8,"Kermadec Islands, New Zealand",2020-06-23 21:23:46.125,-177.2344,-30.9337,10.0
us6000ahft,4.6,"15 km E of Crucecita, Mexico",2020-06-23 20:54:31.008,-95.9901,15.7442,10.0
pr2020175032,4.63,"80 km N of Isabela, Puerto Rico",2020-06-23 20:34:02.260,-67.0691,19.2293,9.0
us7000af1y,5.0,South Sandwich Islands region,2020-06-23 19:08:49.241,-25.3816,-57.9179,44.09
us6000ahdb,5.0,"16 km S of El Coyul, Mexico",2020-06-23 18:27:07.840,-95.7891,15.7674,10.0
us6000ahcr,5.9,"91 km NE of Yigo Village, Guam",2020-06-23 17:50:26.404,145.587,13.9998,65.38
us6000ahbk,4.7,"183 km NNW of Kilmia, Yemen",2020-06-23 16:31:57.675,51.595,13.7211,10.0
us6000ahbh,4.6,"16 km SSW of El Coyul, Mexico",2020-06-23 16:31:03.574,-95.8841,15.7814,10.0
us7000af1s,4.6,south of the Kermadec Islands,2020-06-23 16:06:30.917,-178.4449,-33.537,10.0
us6000ah9y,5.0,"84 km SSW of Kokopo, Papua New Guinea",2020-06-23 15:29:55.794,151.9164,-5.0213,89.03
us6000ah9t,7.4,"9 km SE of Santa María Xadani, Mexico",2020-06-23 15:29:04.350,-96.0077,15.8861,20.0
us6000ah96,4.5,"21 km S of Xunchang, China",2020-06-23 14:12:23.628,104.7503,28.2634,10.0
us7000af1m,4.6,"12 km NNW of Perachóra, Greece",2020-06-23 13:02:22.163,22.8832,38.1316,10.0
us7000af1e,4.5,south of the Kermadec Islands,2020-06-23 08:52:03.958,-178.4967,-33.4504,10.0
us7000af1c,4.5,south of the Kermadec Islands,2020-06-23 08:10:41.351,-178.4596,-33.3562,10.0
us6000ah1z,6.0,"97 km SE of Gorontalo, Indonesia",2020-06-23 07:43:29.219,123.7866,0.0368,109.0
us7000af18,4.5,south of the Kermadec Islands,2020-06-23 06:04:52.876,-179.2869,-32.5508,10.0
us7000af19,4.6,"209 km NW of Tobelo, Indonesia",2020-06-23 05:55:15.532,126.5036,2.8652,68.59
us7000af1f,4.5,"203 km NNE of Tobelo, Indonesia",2020-06-23 05:18:18.781,128.7693,3.4004,10.0
us6000ah03,4.6,"27 km ESE of Londres, Argentina",2020-06-23 05:08:22.886,-66.8867,-27.8334,159.84
us7000af15,4.8,south of the Kermadec Islands,2020-06-23 02:20:51.588,-178.9858,-33.3078,10.0
us7000af1a,4.6,southeast of the Loyalty Islands,2020-06-23 01:46:31.731,171.4914,-22.5882,35.0
us6000agwf,4.9,"10 km SSE of Asunción Tlacolulita, Mexico",2020-06-23 01:17:18.161,-95.6869,16.208,35.0
ci39490952,4.65,"17km SSE of Lone Pine, CA",2020-06-23 00:25:46.390,-117.984,36.4466667,2.26
us7000acbl,4.5,south of the Kermadec Islands,2020-06-22 19:26:58.598,-179.0099,-33.2698,10.0
us6000agnu,5.0,south of the Kermadec Islands,2020-06-22 18:11:07.999,-178.5005,-33.0934,10.0
us7000acb7,4.6,south of the Kermadec Islands,2020-06-22 17:03:52.117,-177.7358,-33.238,10.0
us6000agjh,4.9,Easter Island region,2020-06-22 14:30:46.830,-112.1817,-22.7821,10.0
us7000acb1,4.6,Easter Island region,2020-06-22 14:30:16.496,-112.3887,-22.4115,10.0
us6000agjg,5.5,south of the Kermadec Islands,2020-06-22 14:29:12.430,-178.1429,-33.7934,11.04
us6000aghv,4.5,"51 km SE of Rasht, Tajikistan",2020-06-22 13:37:16.387,70.7182,38.6551,10.0
us7000acbc,4.5,southern Mid-Atlantic Ridge,2020-06-22 13:29:42.539,-14.7104,-44.8418,10.0
us7000acba,4.8,Easter Island region,2020-06-22 13:24:48.346,-112.3534,-22.8862,10.0
us6000aghn,5.0,Easter Island region,2020-06-22 13:23:45.763,-112.394,-23.0222,10.0
us6000agh9,5.1,"98 km SW of Sechura, Peru",2020-06-22 13:08:59.492,-81.5313,-6.096,10.0
us7000acax,4.6,"106 km SW of Buala, Solomon Islands",2020-06-22 11:26:20.480,158.9263,-8.8462,40.26
us6000agf5,4.6,"234 km SE of Sarangani, Philippines",2020-06-22 10:56:04.031,126.6642,3.6607,45.53
us7000acav,4.5,south of the Kermadec Islands,2020-06-22 10:33:13.890,-178.5966,-33.4543,10.0
us6000agew,5.0,Mid-Indian Ridge,2020-06-22 10:06:55.230,78.1809,-39.1103,10.0
us6000agde,5.2,"111 km SE of Lorengau, Papua New Guinea",2020-06-22 09:51:24.130,148.0485,-2.6768,10.0
us7000acat,4.8,Scotia Sea,2020-06-22 08:27:56.134,-34.0605,-60.4949,10.0
us7000acbs,4.7,central Mid-Atlantic Ridge,2020-06-22 08:25:03.034,-40.6037,9.0559,10.0
us6000agb9,5.0,"57 km W of Darapidap, Philippines",2020-06-22 08:02:44.092,119.8753,17.2384,10.0
us6000ag4u,5.6,"22 km E of North Vanlaiphai, India",2020-06-21 22:40:52.633,93.2856,23.1449,10.84
us7000ac7f,4.7,Mid-Indian Ridge,2020-06-21 22:02:06.448,69.6418,-23.7279,10.0
us6000ag2z,4.6,"71 km N of Isangel, Vanuatu",2020-06-21 20:13:10.484,169.1839,-18.8981,211.67
us6000ag1w,4.5,"30 km N of Siglufjörður, Iceland",2020-06-21 19:46:17.826,-18.7916,66.4191,10.0
us6000ag1n,5.2,"116 km S of Jatiroto, Indonesia",2020-06-21 19:33:08.004,110.9498,-8.9211,86.6
us6000ag1s,4.5,"19 km NE of Siglufjörður, Iceland",2020-06-21 19:29:17.248,-18.6299,66.2886,10.0
us7000ac7b,4.5,"17 km NE of Siglufjörður, Iceland",2020-06-21 19:14:49.937,-18.6721,66.2726,10.0
us6000ag18,6.0,"27 km NNE of Siglufjörður, Iceland",2020-06-21 19:07:54.833,-18.707,66.381,10.0
us7000ac7s,4.5,south of the Kermadec Islands,2020-06-21 18:56:04.972,-178.771,-33.4019,10.0
us7000ac79,4.6,south of the Kermadec Islands,2020-06-21 18:01:35.621,-178.5292,-33.3551,10.0
us6000afzj,4.5,"3 km ESE of Camandag, Philippines",2020-06-21 17:01:58.679,123.0945,10.3222,36.51
us6000afxt,4.6,"60 km ENE of Luganville, Vanuatu",2020-06-21 13:21:24.397,167.7071,-15.3766,109.95
us6000afw6,4.9,Kermadec Islands region,2020-06-21 11:52:06.087,-177.6932,-31.2406,10.0
us6000afvf,4.9,"22 km ESE of Darlawn, India",2020-06-21 10:46:25.514,93.1135,23.9075,41.6
us6000afv1,5.3,"38 km ENE of Colonia, Micronesia",2020-06-21 09:58:29.269,138.4247,9.6855,10.0
us6000afu9,5.3,"51 km SW of Masachapa, Nicaragua",2020-06-21 08:58:28.005,-86.8509,11.458,20.65
us6000afsl,4.5,"111 km NW of Lautoka, Fiji",2020-06-21 06:13:48.359,176.7273,-16.893,10.0
us7000ac6s,4.6,south of the Fiji Islands,2020-06-21 04:39:08.586,-177.0408,-24.5508,69.04
us6000afn3,4.7,south of the Kermadec Islands,2020-06-21 00:14:31.381,-178.1728,-33.9219,10.0
us6000afnf,4.5,"237 km E of Levuka, Fiji",2020-06-20 23:55:51.414,-178.4382,-18.0275,588.88
us7000ac3a,4.8,south of the Kermadec Islands,2020-06-20 23:43:25.186,-178.2357,-33.7223,10.0
us7000ac39,4.9,south of the Kermadec Islands,2020-06-20 23:28:46.307,-178.1168,-33.8826,10.0
us6000aflv,5.0,South Sandwich Islands region,2020-06-20 23:04:56.291,-26.1073,-59.7559,35.0
us7000ac35,4.5,south of the Kermadec Islands,2020-06-20 21:48:20.175,-178.3605,-33.3546,10.0
us6000afkj,4.8,"164 km NNW of Sola, Vanuatu",2020-06-20 21:29:53.680,166.8091,-12.5798,134.04
us7000ac32,4.6,south of the Kermadec Islands,2020-06-20 21:13:56.874,-178.2794,-33.3142,10.0
us7000ac31,4.6,south of the Kermadec Islands,2020-06-20 21:10:09.373,-178.1946,-33.1789,10.0
us6000afjq,4.5,"22 km NE of Siglufjörður, Iceland",2020-06-20 20:11:15.177,-18.5532,66.2953,10.0
us6000afj6,5.7,"15 km N of Siglufjörður, Iceland",2020-06-20 19:26:21.398,-18.8934,66.2868,10.0
us7000ac3j,4.5,south of the Kermadec Islands,2020-06-20 17:57:22.015,-178.8566,-33.827,10.0
us6000afh1,5.4,"173 km SSW of Gizo, Solomon Islands",2020-06-20 15:45:10.070,156.0201,-9.4406,7.86
us7000ac2t,4.6,"111 km W of Lata, Solomon Islands",2020-06-20 15:36:21.798,164.7788,-10.7293,10.0
us6000afgx,4.9,central Mid-Atlantic Ridge,2020-06-20 15:31:07.998,-32.5569,3.8074,10.0
us6000afgh,5.4,"15 km NE of Siglufjörður, Iceland",2020-06-20 15:05:11.383,-18.6779,66.2493,10.0
us7000ac2k,4.5,"88 km SE of Amahai, Indonesia",2020-06-20 13:39:06.931,129.4578,-3.9331,92.0
us6000afft,4.5,"297 km ESE of Levuka, Fiji",2020-06-20 13:25:00.748,-177.9881,-18.8389,465.66
us7000ac2h,4.5,"46 km WNW of Port-Vila, Vanuatu",2020-06-20 12:18:02.004,167.9237,-17.543,35.0
us6000aff7,4.7,"182 km SW of Emiliano Zapata, Mexico",2020-06-20 11:59:46.351,-105.9794,18.0508,10.0
us6000affa,5.0,"264 km NNW of Saipan, Northern Mariana Islands",2020-06-20 11:57:59.133,145.1047,17.5164,12.63
us7000ac2d,4.7,"37 km WNW of Port-Vila, Vanuatu",2020-06-20 11:39:35.020,168.001,-17.5764,35.0
us7000ac2b,4.6,south of the Kermadec Islands,2020-06-20 11:25:13.795,-178.4916,-33.8106,10.0
us7000ac2a,4.5,south of the Kermadec Islands,2020-06-20 10:51:49.126,-178.3852,-33.7373,10.0
us7000ac2f,4.6,south of the Kermadec Islands,2020-06-20 06:17:11.794,-178.4814,-34.1495,10.0
us6000afbq,4.7,"134 km ESE of Hihifo, Tonga",2020-06-20 04:44:31.318,-172.5853,-16.276,10.0
us7000ac1y,4.7,south of the Kermadec Islands,2020-06-20 04:24:19.778,-178.203,-33.6765,10.0
us7000ac1x,4.5,south of the Kermadec Islands,2020-06-20 03:59:30.127,-178.2754,-34.6958,10.0
us6000afb7,4.5,"49 km N of Claveria, Philippines",2020-06-20 03:49:59.454,121.0992,19.0512,35.0
us7000ac1u,4.5,central Mid-Atlantic Ridge,2020-06-20 03:35:10.512,-31.3683,3.2578,10.0
us6000af9w,5.4,"123 km ESE of Hihifo, Tonga",2020-06-20 01:57:55.439,-172.6698,-16.2027,10.0
us6000af6b,4.8,"212 km WSW of Merizo Village, Guam",2020-06-19 21:48:47.819,142.757,12.8562,90.22
nn00750312,4.9,"34 km SE of Mina, Nevada",2020-06-19 20:42:21.454,-117.8345,38.1698,6.5
us6000af4v,4.6,"63 km SSW of Néa Anatolí, Greece",2020-06-19 20:34:07.258,25.4907,34.4544,10.0
us6000af4d,5.1,south of the Kermadec Islands,2020-06-19 20:08:35.795,-178.1366,-32.2779,10.0
us7000abb1,4.5,"267 km ESE of Tadine, New Caledonia",2020-06-19 18:51:56.429,170.386,-22.1524,10.0
us7000abaw,4.9,south of the Kermadec Islands,2020-06-19 17:14:42.855,-178.1703,-32.1396,10.0
us6000af0m,5.1,south of the Kermadec Islands,2020-06-19 17:10:34.135,-178.4791,-33.3567,10.0
us7000abar,4.5,south of the Kermadec Islands,2020-06-19 16:44:35.011,-178.3306,-33.7258,10.0
us7000abae,4.5,south of the Kermadec Islands,2020-06-19 13:30:00.268,-178.8244,-33.9305,10.0
us7000abaf,4.9,south of the Kermadec Islands,2020-06-19 13:15:34.755,-177.7561,-32.5258,10.0
us7000abab,4.6,south of the Kermadec Islands,2020-06-19 11:24:23.644,-179.1959,-34.7046,10.0
us6000aerr,5.6,"200 km ENE of Levuka, Fiji",2020-06-19 10:07:56.035,-178.9159,-17.4265,544.04
us7000aba7,4.7,Mid-Indian Ridge,2020-06-19 09:24:26.508,69.3357,-23.5994,10.0
us7000abaj,4.6,"234 km ESE of Saipan, Northern Mariana Islands",2020-06-19 09:17:53.328,147.889,14.7745,10.0
us7000abai,4.7,southern Mid-Atlantic Ridge,2020-06-19 09:12:48.065,-11.1871,-47.0645,10.0
us7000aba5,4.5,south of the Kermadec Islands,2020-06-19 08:26:34.676,-178.0275,-33.1474,10.0
us6000aepx,4.6,south of the Kermadec Islands,2020-06-19 07:57:45.145,-178.0254,-33.6813,10.0
us6000aepr,5.1,"81 km S of Néa Anatolí, Greece",2020-06-19 07:43:21.049,25.5222,34.2871,10.0
us6000aepp,4.6,"61 km NE of Yonakuni, Japan",2020-06-19 07:30:08.717,123.3763,24.8979,10.0
us7000abbn,4.5,"62 km N of Namuac, Philippines",2020-06-19 07:27:08.632,121.1895,19.1732,24.43
us6000aenk,4.6,south of the Kermadec Islands,2020-06-19 05:20:08.048,-177.5872,-33.1976,10.0
us6000aemn,4.9,"75 km E of Hihifo, Tonga",2020-06-19 03:41:59.874,-173.098,-16.0776,35.0
us6000aeln,5.2,"186 km WSW of Adak, Alaska",2020-06-19 03:08:32.334,-179.069,51.1692,33.0
us6000ael8,5.1,"185 km WSW of Adak, Alaska",2020-06-19 02:59:28.165,-179.0564,51.1754,33.14
us7000ab9t,4.7,"6 km SW of Barahan, Philippines",2020-06-19 01:46:11.795,120.7273,12.9664,10.0
us6000aejw,5.4,south of the Kermadec Islands,2020-06-19 00:38:51.523,-178.5667,-33.5856,10.0
us6000aejr,5.2,"62 km NE of Yonakuni, Japan",2020-06-19 00:26:35.711,123.3575,24.9283,10.0
us6000aeif,4.7,"9 km S of Hirara, Japan",2020-06-18 22:25:12.379,125.3072,24.7155,35.0
us6000aeei,5.2,south of the Kermadec Islands,2020-06-18 19:34:15.230,-178.6183,-33.4318,10.0
us7000aayr,4.5,south of the Kermadec Islands,2020-06-18 19:32:52.004,-178.3349,-32.9057,10.0
us7000aayp,4.6,south of the Kermadec Islands,2020-06-18 19:20:15.579,-178.0611,-33.4306,10.0
us6000aedu,5.3,south of the Kermadec Islands,2020-06-18 19:11:52.800,-178.0116,-33.4107,10.0
us7000aazk,4.5,south of the Kermadec Islands,2020-06-18 19:07:49.453,-178.5381,-33.5884,10.0
us6000aebh,5.3,"62 km NNE of Yonakuni, Japan",2020-06-18 16:43:19.007,123.3297,24.9423,10.0
us7000aayu,5.0,southern Mid-Atlantic Ridge,2020-06-18 16:43:09.420,-11.1413,-47.0429,10.0
us6000aeb3,5.0,"56 km NNE of Yonakuni, Japan",2020-06-18 16:42:14.291,123.292,24.8989,10.0
us7000aay4,4.8,south of the Kermadec Islands,2020-06-18 16:35:47.968,-177.2105,-32.5763,10.0
us7000ab01,4.7,south of the Kermadec Islands,2020-06-18 16:34:03.806,-178.1503,-33.0581,10.0
us7000aazu,4.5,south of the Kermadec Islands,2020-06-18 16:33:21.727,-178.4772,-34.236,10.0
us6000aeas,4.8,"165 km SSE of Punta de Burica, Panama",2020-06-18 16:32:53.491,-82.3906,6.6117,10.0
